,Latitude,Longitude,Location,Disaster Type,Total Deaths
612,10.7121,79.18,"Bhadrairuppu village (Virudhunagar district, Tamil Nadu province)",Flood,8.0
633,17.654,80.34,"Andhra Pradesh province, Telangana",Flood,28.0
639,10.489,79.004,Chenai (Tamil Nadu),Flood,21.0
662,23.419,70.232,"Ahmadabad, Amreli, Anand, Banas Kantha, Bharuch, Bhavnagar, Dahdod, Gandhinagar, Jamnagar, Junagadh, Kachchh, Kheda, Mahesana, Navsari, Patan, Porbandar, Rajkot, Sabar Kantha, Surat, Surendranagar, Vadodara districts (Gurajat province)",Earthquake,20005.0
682,22.41,71.31,"Navsari, The Dangs districts (Gujarat)",Flood,24.0
683,19.17,83.65,"Gajapati, Rayagada districts (Orissa province)",Flood,33.0
684,20.19,73.82,"Andhra Pradesh, Gujarat, Maharashtra, Chhattisgarh, Rajasthan, Madhya Pradesh, Orissa, Karnataka provinces",Flood,350.0
688,20.05,81.86,"Raipur, Bilaspur, Mahasamund, Durg districts (Chhattisgarh province)",Flood,29.0
689,23.92,91.23,"Udaipur, Amarpur cities (South Tripura district, Tripura province), Sonamura citiy (West Tripura district, Tripura province)",Flood,
695,15.22,79.48,Andhra Pradesh province,Flood,27.0
696,26.73,82.84,"Almora, Naini Tal districts (Uttarakhand province), Bihar, Uttar Pradesh provinces",Flood,200.0
698,31.3,76.85,"Rudra Prayag, Bageshwar districts (Uttarakhand province)",Flood,45.0
704,27.8087,86.0655,Bihar province,Earthquake,20.0
707,11.828,78.855,"Chittoor, Cuddapah, Prakasam, Nellore districts (Andhra Pradesh province), Chennai, Cuddalore, Nagapattinam, Kancheepuram, Thiruvallur, Villupuram districts (Tamil Nadu province), Puducherry province",Flood,325.0
710,27.464,95.607,"Arunachal Pradesh, Assam, Nagaland provinces",Flood,18.0
716,9.88,78.47,"Chennai, Cuddalore, Nagapattinam, Pudukottai, Ramanthapuram, Thanjavur, Thiruvallur, Villupuram, Thoothukudi, Tirunelveli Kattabo districts (Tamil Nadu province)",Flood,203.0
718,27.73,88.155,"Sikkim, West Bengal, Bihar, Assam, Meghalaya provinces",Earthquake,112.0
719,20.651,86.0,"Angul, Baleshwar, Baragarh, Bhadrak, Boudh, Cuttack, Deogarh, Dhenkanal, Jajpur, Jagatsinghpur, Jharsuguda, Kendrapara, Khordha, Mayurbhanj, Nayagarh, Nuapada, Puri, Sambalpur districts (Orissa province)",Flood,239.0
720,26.376,86.24,"Barpeta, Bongaigaon, Darrang, Dhemaji, Dhuburi, Golaghat, Jorhat, Karbi Anglong, Sibsagar, Lakhimpur, Nagaon, Sonitpur districts, (Assam province), Begusarai, Bhagalpur, Bhojpur, Buxar, Gopalganj, Katihar, Khagaria, Kishanganj, Lakhisarai, Madhubani, Madhepura, Muzaffarpur, Patna, Purnia, Samastipur, Saran, Saharsa, Sitamarhi, Supaul, Vaishali, Pashchim Champaran districts (Bihar province), Azamgarh, Aligarh, Ambedkar Nagar, Badaun, Ballia, Bara Banki, Bahraich, Bareilly, Bijnor, Faizabad, Farrukhabad, Ghazipur, Gonda, Gorakhpur, Hardoi, Jyotiba Phule Nagar, Kannauj, Kanpur, Kushinagar, Lakhimpur Kheri, Meerut, Muzaffarnagar, Moradabad, Pilibhit, Rampur, Shahjahanpur, Sitapur, Unnao districts (Uttar Pradesh province)",Flood,204.0
723,26.566,92.44,"Anjaw (70044), Lohit, Changlang, 70045, 70050, Lower Dibang Valley, East Siang, Upper Siang (70051) districts (Arunachal Pradesh province), Assam province",Flood,120.0
725,32.714,76.61,"Uttarakhand, Himachal Pradesh, Uttar Pradesh, Bihar, Karnataka, Kerala, Gujarat, West Bengal provinces",Flood,6054.0
731,28.2305,84.7314,"Bihar, Uttar Pradesh, West Bengal, Sikkim provinces",Earthquake,78.0
732,26.9195,93.87,"Barpeta, Sonitpur, Goalpara, Dhemaji, Lakhimpur, Tinsukia, Darrang, Nalbari, Jorhat, Kamrup, Dibrugarh, Nagaon, Bongaigaon districts (Assam province)",Mass movement (wet),3.0
733,21.8734,70.76,"Amreli, Rajkot, Surat districts (Gujarat province), Maharashtra province",Flood,81.0
734,26.2074,82.62,"Kachchh, Patan, Banas Kantha districts (Gujarat province), Malda, Jalpaiguri districts (West Bengal province), Jorhat, Dhemaji, Lakhimpur, Dhuburi, Darrang, Goalpara, Karbi Anglong, Marigaon districts (Assam province), Manipur, Orissa, Rajasthan, Madhya Pradesh provinces",Flood,293.0
735,26.8946,93.75,Assam province,Flood,5.0
736,36.5244,70.3676,"Administrative unit not available districts (Jammu and Kashmir province), Delhi, Punjab provinces",Earthquake,
740,27.068,93.95,"Chamoli, Pithoragahr districts (Uttarakhand province), Assam, Arunachal Pradesh provinces",Flood,61.0
771,11.47,77.85,"Ooty, Coonoor cities (Nilgiris district, Tamil Nadu)",Flood,70.0
775,22.044,94.55,"Muzaffarpur, Supaul, Patna, Katihar, Nalanda, Araria, Pashchim Champaran, Sheikhpura, Saharsa, Purnia, Saran, Begusarai, Bhagalpur, Madhepura, Vaishali, Khagaria districts (Bihar province), Assam province",Flood,47.0
776,10.76,78.72,"Tamil Nadu, Karnataka provinces",Flood,37.0
778,10.39,76.31,Kerala province,Flood,44.0
779,27.58,95.26,"Assam, Arunachal Pradesh, Meghalaya, Manipur provinces",Flood,96.0
780,20.45,86.2,"Cuttack, Puri, Khordha, Jajpur, Jagatsinghpur districts (Orissa province)",Flood,15.0
781,22.63,88.49,"Bihar, Uttar Pradesh, Assam, Orissa, West Bengal provinces",Flood,1103.0
782,21.03,77.52,"Amravati, Mumbai City, Mumbai Suburban, Raigarh, Ratnagiri, Sindhudurg, Thane districts (Maharashtra province)",Flood,62.0
783,26.26,94.02,"Lakhimpur, Dhemaji, Cachar, Karimganj, Hailakandi, Darrang, Dibrugarh districts (Assam province)",Flood,15.0
784,14.13,79.93,"Tamil Nadu, Andhra Pradesh provinces",Flood,47.0
785,26.6,94.02,"Assam, Tripura provinces",Flood,21.0
786,17.43,82.81,"Adilabad, Hyderabad, Karimnagar, Khammam, Mahbubnagar, Medak, Nalgonda, Nizamabad, Rangareddi, Warangal, Srikakulam, Krishna districts (Andhra Pradesh province)",Flood,20.0
