Disaster Subgroup,Disaster Type,Disaster Subtype,Location,Magnitude,Magnitude Scale,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,Total Affected,Total Damage ('000 US$),Start_Date,End_Date,Duration,Season,Primary_State,Deaths_log,Affected_log,Damage_log,Disaster Type_encoded,Disaster Subtype_encoded,Disaster Subgroup_encoded,Season_encoded,Primary_State_encoded,Magnitude Scale_encoded
Biological,Epidemic,Bacterial disease,"Delhi, Haryana, Chandigarh, Uttar Pradesh, Uttaranchal",,,2005,5.0,18.0,2005,6.0,21.0,48.0,405.0,160000.0,2005-05-18,2005-06-21,34.0,Summer,Haryana,3.8918202981106265,6.0063531596017325,11.982935344196433,2,2,0,2,7,4
Biological,Epidemic,Viral disease,Uttar Pradesh and Bihar states,,Vaccinated,2005,7.0,1.0,2005,11.0,10.0,296.0,1145.0,160000.0,2005-07-01,2005-11-10,132.0,Monsoon,Bihar,5.6937321388027,7.044032897274685,11.982935344196433,2,28,0,0,3,3
Biological,Epidemic,Bacterial disease,Maharashtra state,,,2005,8.0,28.0,2005,8.0,30.0,110.0,1743.0,160000.0,2005-08-28,2005-08-30,2.0,Monsoon,Maharashtra,4.709530201312334,7.463936604468925,11.982935344196433,2,2,0,0,14,4
Biological,Epidemic,Viral disease,"Andhra Prasdesh, Maharashtra, Karnataka states",,Vaccinated,2005,12.0,1.0,2006,4.0,1.0,49.0,153324.0,160000.0,2005-12-01,2006-04-01,121.0,Winter,Karnataka,3.912023005428146,11.940315130494184,11.982935344196433,2,28,0,3,10,3
Biological,Epidemic,Viral disease,Uttar Pradesh,,Vaccinated,2009,1.0,1.0,2009,10.0,1.0,311.0,1521.0,160000.0,2009-01-01,2009-10-01,273.0,Winter,Uttar Pradesh,5.7430031878094825,7.3277805384216315,11.982935344196433,2,28,0,3,26,3
Biological,Epidemic,Viral disease,"Muzaffarpur, Vaishali, Sheohar, East Champaran districts (Bihar)",,Vaccinated,2019,1.0,1.0,2019,6.0,17.0,121.0,418.0,160000.0,2019-01-01,2019-06-17,167.0,Winter,Bihar,4.804021044733257,6.037870919922137,11.982935344196433,2,28,0,3,3,3
Biological,Epidemic,Viral disease,Rajendranagar area (Bihar),,Vaccinated,2019,10.0,1.0,2019,10.0,1.0,49.0,900.0,160000.0,2019-10-01,2019-10-01,1.0,Post-Monsoon,Bihar,3.912023005428146,6.803505257608338,11.982935344196433,2,28,0,1,3,3
Meteorological,Extreme temperature,Cold wave,"Haryana, Punjab, Jammu, Himachal Pradesh, Rajasthan states",,°C,1990,1.0,1.0,1990,1.0,1.0,178.0,30000.0,160000.0,1990-01-01,1990-01-01,1.0,Winter,Haryana,5.187385805840755,10.308985993422082,11.982935344196433,3,5,4,3,7,5
Meteorological,Extreme temperature,Cold wave,"North, West",,°C,1990,12.0,29.0,1990,12.0,29.0,86.0,30000.0,160000.0,1990-12-29,1990-12-29,1.0,Winter,Unknown,4.465908118654584,10.308985993422082,11.982935344196433,3,5,4,3,25,5
Meteorological,Extreme temperature,Cold wave,Bihar state,,°C,1992,1.0,1.0,1992,1.0,1.0,275.0,30000.0,160000.0,1992-01-01,1992-01-01,1.0,Winter,Bihar,5.62040086571715,10.308985993422082,11.982935344196433,3,5,4,3,3,5
Meteorological,Extreme temperature,Heat wave,"New Delhi, Rajasthan, Madhya Pradesh",49.0,°C,1994,5.0,1.0,1994,5.0,1.0,161.0,30000.0,160000.0,1994-05-01,1994-05-01,1.0,Summer,Madhya Pradesh,5.087596335232384,10.308985993422082,11.982935344196433,3,13,4,2,13,5
Meteorological,Extreme temperature,Heat wave,"Bihar, Punjab, Haryana and Jammu, Kashmir, Tamil Nadu, Maharashtra, Orissa, Uttar Pradesh, New Delhi, Rajasthan, Madhya Pradesh",50.0,°C,1995,5.0,8.0,1995,6.0,21.0,558.0,30000.0,160000.0,1995-05-08,1995-06-21,44.0,Summer,Odisha,6.326149473155099,10.308985993422082,11.982935344196433,3,13,4,2,19,5
Meteorological,Extreme temperature,Heat wave,"Orissa, Andhra Pradesh, Rajasthan, Madhya Pradesh, Uttar Pradesh, Gujarat states",49.8,°C,1998,5.0,26.0,1998,5.0,26.0,2541.0,30000.0,160000.0,1998-05-26,1998-05-26,1.0,Summer,Odisha,7.8407064517494,10.308985993422082,11.982935344196433,3,13,4,2,19,5
Meteorological,Extreme temperature,Cold wave,"Uttar Pradesh, Bihar, Rajasthan, Jammu and Cachemire states",,°C,1998,12.0,15.0,1998,12.0,15.0,100.0,30000.0,160000.0,1998-12-15,1998-12-15,1.0,Winter,Bihar,4.61512051684126,10.308985993422082,11.982935344196433,3,5,4,3,3,5
Meteorological,Extreme temperature,Heat wave,"Orissa, Andhra Pradesh, Gujurat, Uttar Pradesh",47.0,°C,1999,4.0,1.0,1999,4.0,1.0,140.0,30000.0,160000.0,1999-04-01,1999-04-01,1.0,Summer,Odisha,4.948759890378168,10.308985993422082,11.982935344196433,3,13,4,2,19,5
Meteorological,Extreme temperature,Cold wave,"Bihar, Uttar Pradesh, West Bengal provinces",,°C,2000,1.0,1.0,2000,1.0,1.0,275.0,30000.0,160000.0,2000-01-01,2000-01-01,1.0,Winter,West Bengal,5.62040086571715,10.308985993422082,11.982935344196433,3,5,4,3,28,5
Meteorological,Extreme temperature,Cold wave,"Uttar Pradesh, Bihar, Punjab provinces",-22.0,°C,2001,1.0,1.0,2001,1.0,1.0,125.0,30000.0,160000.0,2001-01-01,2001-01-01,1.0,Winter,Punjab,4.836281906951478,10.308985993422082,11.982935344196433,3,5,4,3,20,5
Meteorological,Extreme temperature,Cold wave,"Uttar Pradesh, Rajasthan provinces",,°C,2001,12.0,1.0,2001,12.0,1.0,48.0,30000.0,160000.0,2001-12-01,2001-12-01,1.0,Winter,Rajasthan,3.8918202981106265,10.308985993422082,11.982935344196433,3,5,4,3,21,5
Meteorological,Extreme temperature,Heat wave,"Madhya Pradesh, Andhra Pradesh, Uttar Pradesh, Delhi, Rajasthan, Punjab, Haryana, Orissa, West Bengal provinces",50.0,°C,2002,5.0,10.0,2002,5.0,22.0,1030.0,30000.0,160000.0,2002-05-10,2002-05-22,12.0,Summer,West Bengal,6.93828448401696,10.308985993422082,11.982935344196433,3,13,4,2,28,5
Meteorological,Extreme temperature,Cold wave,"Bihar, Uttar Pradesh, Himachal Pradesh, Rajasthan, Jharkhand, Jammu and Kashmir, Punjab, Haryana, Delhi provinces",5.0,°C,2002,12.0,1.0,2002,12.0,1.0,900.0,30000.0,160000.0,2002-12-01,2002-12-01,1.0,Winter,Bihar,6.803505257608338,10.308985993422082,11.982935344196433,3,5,4,3,3,5
Meteorological,Extreme temperature,Heat wave,"Andhra Pradesh, Orissa, Tamil Nadu, Vidarbha (=part of Maharashtra), Chhattisgarh, Jharkland, Uttar Pradesh, Rajasthan, Madhya Pradesh, Bihar provinces",49.0,°C,2003,5.0,14.0,2003,6.0,6.0,1210.0,30000.0,400000.0,2003-05-14,2003-06-06,23.0,Summer,Odisha,7.099201743553092,10.308985993422082,12.899222326086994,3,13,4,2,19,5
Meteorological,Extreme temperature,Cold wave,"Uttar Pradesh, Himachal Pradesh, Haryana, Jammu and Kashmir provinces",,°C,2003,12.0,15.0,2004,1.0,1.0,400.0,30000.0,160000.0,2003-12-15,2004-01-01,17.0,Winter,Haryana,5.993961427306569,10.308985993422082,11.982935344196433,3,5,4,3,7,5
Meteorological,Extreme temperature,Heat wave,"Uttar Pradesh, Bihar, West Bengal, Orissa, Maharashtra, Andhra Pradesh provinces",49.0,°C,2005,6.0,1.0,2005,6.0,1.0,329.0,30000.0,160000.0,2005-06-01,2005-06-01,1.0,Monsoon,West Bengal,5.799092654460526,10.308985993422082,11.982935344196433,3,13,4,0,28,5
Meteorological,Extreme temperature,Severe winter conditions,"Uttar Pradesh, Punjab, Haryana, Himachal Pradesh, Delhi, Bihar, Rajasthan, Jammu and Kashmir provinces",2.0,°C,2005,12.0,1.0,2006,1.0,1.0,180.0,30000.0,160000.0,2005-12-01,2006-01-01,31.0,Winter,Bihar,5.198497031265826,10.308985993422082,11.982935344196433,3,23,4,3,3,5
Meteorological,Extreme temperature,Heat wave,"Uttar Pradesh, Orissa, Punjab, Delhi provinces",,°C,2006,5.0,1.0,2006,5.0,1.0,47.0,30000.0,160000.0,2006-05-01,2006-05-01,1.0,Summer,Odisha,3.871201010907891,10.308985993422082,11.982935344196433,3,13,4,2,19,5
Meteorological,Extreme temperature,Cold wave,Jammu and Kashmir province,,°C,2007,3.0,11.0,2007,3.0,14.0,66.0,25.0,160000.0,2007-03-11,2007-03-14,3.0,Summer,Jammu,4.204692619390966,3.258096538021482,11.982935344196433,3,5,4,2,9,5
Meteorological,Extreme temperature,Heat wave,"Uttar Pradesh, Rajasthan, Punjab, Delhi provinces",44.9,°C,2007,4.0,1.0,2007,6.0,1.0,72.0,30000.0,160000.0,2007-04-01,2007-06-01,61.0,Summer,Punjab,4.290459441148391,10.308985993422082,11.982935344196433,3,13,4,2,20,5
Meteorological,Extreme temperature,Cold wave,"Uttar Pradesh, Jammu and Kashmir, Gujarat provinces",1.9,°C,2007,12.0,1.0,2008,1.0,1.0,47.0,30000.0,160000.0,2007-12-01,2008-01-01,31.0,Winter,Gujarat,3.871201010907891,10.308985993422082,11.982935344196433,3,5,4,3,6,5
Meteorological,Extreme temperature,Cold wave,"Uttar Pradesh, Bihar, Haryana, Punjab, Himachal Pradesh, Uttarakhand, Jammu and Kashmir provinces",4.0,°C,2008,12.0,1.0,2009,1.0,1.0,70.0,30000.0,160000.0,2008-12-01,2009-01-01,31.0,Winter,Bihar,4.2626798770413155,10.308985993422082,11.982935344196433,3,5,4,3,3,5
Meteorological,Extreme temperature,Heat wave,"Orissa, West Bengal, Bihar, Uttar Pradesh, Jharkhand, Andhra Pradesh provinces",48.0,°C,2009,4.0,14.0,2009,6.0,26.0,120.0,25.0,160000.0,2009-04-14,2009-06-26,73.0,Summer,West Bengal,4.795790545596741,3.258096538021482,11.982935344196433,3,13,4,2,28,5
Meteorological,Extreme temperature,Cold wave,"Srinagar city ('72808' district, '40424' Jammu and Kashmir province), Uttar Pradesh, Himachal Pradesh, Delhi, Bihar provinces",-9.0,°C,2010,1.0,2.0,2010,1.0,13.0,100.0,30000.0,160000.0,2010-01-02,2010-01-13,11.0,Winter,Bihar,4.61512051684126,10.308985993422082,11.982935344196433,3,5,4,3,3,5
Meteorological,Extreme temperature,Heat wave,"Delhi, Haryana, Madhya Pradesh, Orissa, Rajasthan, Uttar Pradesh provinces",49.0,°C,2010,3.0,1.0,2010,5.0,1.0,250.0,30000.0,160000.0,2010-03-01,2010-05-01,61.0,Summer,Odisha,5.5254529391317835,10.308985993422082,11.982935344196433,3,13,4,2,19,5
Meteorological,Extreme temperature,Cold wave,"Delhi province, Allahabad, Pratapgarh, Jaunpur, Bara Banki districts (Uttar Pradesh province), Sundernagar city (Mandi district, Himachal Pradesh province), Bhuntar city (Kullu district, Himachal Pradesh province), Shimla, Solan districts (Himachal Pradesh province), Leh city ('40422' Jammu and Kashmir province), Qazigund city ('40425' Jammu and Kashmir province), Bihar province",-20.2,°C,2011,1.0,1.0,2011,1.0,18.0,80.0,30000.0,160000.0,2011-01-01,2011-01-18,17.0,Winter,Bihar,4.394449154672439,10.308985993422082,11.982935344196433,3,5,4,3,3,5
Meteorological,Extreme temperature,Cold wave,"Uttar Pradesh, Punjab, Haryana provinces",0.0,°C,2011,12.0,16.0,2011,12.0,31.0,132.0,30000.0,160000.0,2011-12-16,2011-12-31,15.0,Winter,Haryana,4.890349128221754,10.308985993422082,11.982935344196433,3,5,4,3,7,5
Meteorological,Extreme temperature,Cold wave,"Karimnagar, Vishakhapatnam, Guntur districts (Andhra Pradesh province)",,°C,2012,1.0,15.0,2012,1.0,17.0,15.0,30000.0,160000.0,2012-01-15,2012-01-17,2.0,Winter,Andhra Pradesh,2.772588722239781,10.308985993422082,11.982935344196433,3,5,4,3,0,5
Meteorological,Extreme temperature,Cold wave,"Bihar, Haryana, Himachal Pradesh, Jammu and Kashmir, Punjab, Rajasthan, Uttar Pradesh provinces",,°C,2012,12.0,22.0,2013,1.0,20.0,249.0,30000.0,160000.0,2012-12-22,2013-01-20,29.0,Winter,Bihar,5.521460917862246,10.308985993422082,11.982935344196433,3,5,4,3,3,5
Meteorological,Extreme temperature,Heat wave,"Adilabad, East Godavari, Guntur, Karimnagar, Khammam, Krishna, Nalgonda, Nizamabad, Prakasam, Vishakhapatnam, Warangal, West Godavari districts (Andhra Pradesh province)",46.0,°C,2013,4.0,1.0,2013,5.0,30.0,557.0,30000.0,160000.0,2013-04-01,2013-05-30,59.0,Summer,Andhra Pradesh,6.324358962381311,10.308985993422082,11.982935344196433,3,13,4,2,0,5
Meteorological,Extreme temperature,Cold wave,"Uttar Pradesh, Jammu and Kashmir, Uttarakhand, Delhi provinces",-9.0,°C,2014,1.0,20.0,2014,1.0,24.0,24.0,30000.0,160000.0,2014-01-20,2014-01-24,4.0,Winter,Uttar Pradesh,3.2188758248682006,10.308985993422082,11.982935344196433,3,5,4,3,26,5
Meteorological,Extreme temperature,Severe winter conditions,"Himachal Pradesh, Uttarakhand, Uttar Pradesh provinces",,°C,2014,12.0,17.0,2014,12.0,18.0,140.0,30000.0,160000.0,2014-12-17,2014-12-18,1.0,Winter,Himachal Pradesh,4.948759890378168,10.308985993422082,11.982935344196433,3,23,4,3,8,5
Meteorological,Extreme temperature,Heat wave,"Delhi, Andhra Pradesh, Orissa provinces",48.0,°C,2015,5.0,20.0,2015,5.0,31.0,2248.0,30000.0,160000.0,2015-05-20,2015-05-31,11.0,Summer,Odisha,7.718240951959316,10.308985993422082,11.982935344196433,3,13,4,2,19,5
Meteorological,Extreme temperature,Heat wave,"Andhra Pradesh, Rajasthan, Orissa, Bihar, Jharkhand, Tamil Nadu, Uttar Pradesh provinces",51.0,°C,2016,4.0,1.0,2016,5.0,20.0,300.0,30000.0,160000.0,2016-04-01,2016-05-20,49.0,Summer,Odisha,5.707110264748875,10.308985993422082,11.982935344196433,3,13,4,2,19,5
Meteorological,Extreme temperature,Heat wave,"Andhra Pradesh, Telangana, Maharashtra, Odisha (Orissa)",48.0,°C,2017,4.0,12.0,2017,6.0,15.0,264.0,30000.0,160000.0,2017-04-12,2017-06-15,64.0,Summer,Odisha,5.579729825986222,10.308985993422082,11.982935344196433,3,13,4,2,19,5
Meteorological,Extreme temperature,Cold wave,New Delhi,4.2,°C,2018,1.0,1.0,2018,2.0,7.0,44.0,30000.0,160000.0,2018-01-01,2018-02-07,37.0,Winter,Delhi,3.8066624897703196,10.308985993422082,11.982935344196433,3,5,4,3,4,5
Meteorological,Extreme temperature,Heat wave,"Karnataka, Maharashtra, Madhya Pradesh, Rajasthan, Uttar Pradesh states",,°C,2019,6.0,1.0,2019,6.0,1.0,22.0,450.0,160000.0,2019-06-01,2019-06-01,1.0,Monsoon,Karnataka,3.1354942159291497,6.111467339502679,11.982935344196433,3,13,4,0,10,5
Meteorological,Extreme temperature,Heat wave,"Maharashtra State, West Rajasthan",45.0,°C,2022,3.0,1.0,2022,4.0,1.0,25.0,30000.0,160000.0,2022-03-01,2022-04-01,31.0,Summer,Maharashtra,3.258096538021482,10.308985993422082,11.982935344196433,3,13,4,2,14,5
Meteorological,Extreme temperature,Heat wave,Maharashtra state,38.0,°C,2023,4.0,1.0,2023,4.0,1.0,11.0,330.0,160000.0,2023-04-01,2023-04-01,1.0,Summer,Maharashtra,2.4849066497880004,5.802118375377063,11.982935344196433,3,13,4,2,14,5
Meteorological,Extreme temperature,Heat wave,"New Delhi; Rajasthan, Bihar, Gujarat, West Rajasthan, Punjab, Haryana, Chandigarh",50.5,°C,2024,3.0,1.0,2024,6.0,1.0,733.0,25000.0,160000.0,2024-03-01,2024-06-01,92.0,Summer,Bihar,6.598509028614515,10.12667110305036,11.982935344196433,3,13,4,2,3,5
Hydrological,Flood,Flash flood,"Jammu, Kargil district (Kashmir)",,Km2,1990,3.0,21.0,1990,3.0,22.0,69.0,30000.0,160000.0,1990-03-21,1990-03-22,1.0,Summer,Jammu,4.248495242049359,10.308985993422082,11.982935344196433,4,7,3,2,9,0
Hydrological,Flood,Riverine flood,Bombay (Assam state),17800.0,Km2,1990,6.0,13.0,1990,6.0,18.0,21.0,30000.0,160000.0,1990-06-13,1990-06-18,5.0,Monsoon,Maharashtra,3.091042453358316,10.308985993422082,11.982935344196433,4,20,3,0,14,0
Hydrological,Flood,Flood (General),,,Km2,1990,8.0,1.0,1990,8.0,1.0,74.0,2000.0,160000.0,1990-08-01,1990-08-01,1.0,Monsoon,Unknown,4.31748811353631,7.601402334583733,11.982935344196433,4,8,3,0,25,0
Hydrological,Flood,Riverine flood,Tami Nadu state,,Km2,1990,10.0,24.0,1990,10.0,28.0,60.0,30000.0,160000.0,1990-10-24,1990-10-28,4.0,Post-Monsoon,Unknown,4.110873864173311,10.308985993422082,11.982935344196433,4,20,3,1,25,0
Hydrological,Flood,Coastal flood,"Assam, Tripura, Arunachal, Mizorem",,Km2,1991,5.0,7.0,1991,5.0,8.0,30.0,2000000.0,160000.0,1991-05-07,1991-05-08,1.0,Summer,Assam,3.4339872044851463,14.508658238524095,11.982935344196433,4,4,3,2,2,0
Hydrological,Flood,Riverine flood,"Bombay, Kerala, Gujarat",491400.0,Km2,1991,6.0,10.0,1991,6.0,12.0,72.0,300000.0,100000.0,1991-06-10,1991-06-12,2.0,Monsoon,Maharashtra,4.290459441148391,12.611541086966115,11.51293546492023,4,20,3,0,14,0
Hydrological,Flood,Riverine flood,"Andhra Pradesh, Maharashtra, Orissa, Gujarat, Madhya Pradesh",,Km2,1991,7.0,30.0,1991,7.0,30.0,524.0,100000.0,160000.0,1991-07-30,1991-07-30,1.0,Monsoon,Odisha,6.263398262591624,11.51293546492023,11.982935344196433,4,20,3,0,19,0
Hydrological,Flood,Riverine flood,"Haryana, Uttar Pradesh, Himachal Pradesh, Bihar states",,Km2,1991,8.0,15.0,1991,8.0,29.0,88.0,30000.0,160000.0,1991-08-15,1991-08-29,14.0,Monsoon,Bihar,4.48863636973214,10.308985993422082,11.982935344196433,4,20,3,0,3,0
Hydrological,Flood,Riverine flood,West Bengal state,91960.0,Km2,1991,9.0,14.0,1991,9.0,15.0,84.0,4000000.0,40000.0,1991-09-14,1991-09-15,1.0,Monsoon,West Bengal,4.442651256490317,15.201805169084134,10.596659732783579,4,20,3,0,28,0
Hydrological,Flood,Riverine flood,Near Thondebhavi (Karnataka),,Km2,1991,10.0,30.0,1991,10.0,30.0,60.0,30000.0,160000.0,1991-10-30,1991-10-30,1.0,Post-Monsoon,Karnataka,4.110873864173311,10.308985993422082,11.982935344196433,4,20,3,1,10,0
Hydrological,Flood,Riverine flood,Orissa state,,Km2,1992,7.0,26.0,1992,7.0,31.0,16.0,3000000.0,160000.0,1992-07-26,1992-07-31,5.0,Monsoon,Odisha,2.833213344056216,14.914123179965662,11.982935344196433,4,20,3,0,19,0
Hydrological,Flood,Riverine flood,"Uttar Pradesh, Jammu, Madhya Pradesh",,Km2,1992,9.0,8.0,1992,9.0,30.0,500.0,70000.0,57850.0,1992-09-08,1992-09-30,22.0,Monsoon,Madhya Pradesh,6.2166061010848646,11.156264806643742,10.965626018557122,4,20,3,0,13,0
Hydrological,Flood,Riverine flood,"Vamanapuram, Amravilla (Trivadrum district, Kerala state)",,Km2,1992,10.0,8.0,1992,10.0,8.0,51.0,500.0,182100.0,1992-10-08,1992-10-08,1.0,Post-Monsoon,Kerala,3.9512437185814275,6.2166061010848646,12.112316757188815,4,20,3,1,12,0
Hydrological,Flood,Flood (General),"Tamil Nadu, Kerala, Karnataka, Andhra Pradesh states",,Km2,1992,11.0,10.0,1992,11.0,10.0,179.0,500.0,69000.0,1992-11-10,1992-11-10,1.0,Post-Monsoon,Andhra Pradesh,5.19295685089021,6.2166061010848646,11.141876276228,4,8,3,1,0,0
Hydrological,Flood,Riverine flood,"Tripura, Karamganj (Assam)",,Km2,1993,5.0,1.0,1993,5.0,1.0,49.0,50000.0,160000.0,1993-05-01,1993-05-01,1.0,Summer,Assam,3.912023005428146,10.819798284210286,11.982935344196433,4,20,3,2,2,0
Hydrological,Flood,Riverine flood,Himachal Pradesh,,Km2,1993,7.0,1.0,1993,7.0,1.0,175.0,30000.0,160000.0,1993-07-01,1993-07-01,1.0,Monsoon,Himachal Pradesh,5.170483995038151,10.308985993422082,11.982935344196433,4,20,3,0,8,0
Hydrological,Flood,Riverine flood,Uttar Pradesh,,Km2,1993,9.0,9.0,1993,9.0,17.0,227.0,3000.0,500000.0,1993-09-09,1993-09-17,8.0,Monsoon,Uttar Pradesh,5.429345628954441,8.006700845440367,13.122365377402328,4,20,3,0,26,0
Hydrological,Flood,Flash flood,Karnataka state,,Km2,1993,10.0,11.0,1993,10.0,21.0,35.0,10000.0,160000.0,1993-10-11,1993-10-21,10.0,Post-Monsoon,Karnataka,3.58351893845611,9.210440366976517,11.982935344196433,4,7,3,1,10,0
Hydrological,Flood,Flood (General),"Assam, Arunachal Pradesh, Jammu and Kashmir, Himachal, Punjab, Uttar Pradesh, Goa, Kerala, Gujarat states",,Km2,1994,5.0,1.0,1994,10.0,1.0,2001.0,12060050.0,175000.0,1994-05-01,1994-10-01,153.0,Summer,Arunachal Pradesh,7.601901959875166,16.305408978110094,12.07254696717504,4,8,3,2,1,0
Hydrological,Flood,Riverine flood,New Delhi,,Km2,1994,8.0,17.0,1994,8.0,17.0,14.0,2550.0,160000.0,1994-08-17,1994-08-17,1.0,Monsoon,Delhi,2.70805020110221,7.844240718141811,11.982935344196433,4,20,3,0,4,0
Hydrological,Flood,Riverine flood,"Bihar, Haryana, Punjab, Rajasthan, Himachal Pradesh, Jammu and Kasmir, Uttar Pradesh, West Bengal, Maharashtra states",762900.0,Km2,1995,9.0,1.0,1995,9.0,20.0,1479.0,32704000.0,258000.0,1995-09-01,1995-09-20,19.0,Monsoon,West Bengal,7.299797366758161,17.30300798312281,12.460718739865236,4,20,3,0,28,0
Hydrological,Flood,Riverine flood,Andhra Pradesh,,Km2,1995,10.0,23.0,1995,10.0,23.0,49.0,3000.0,2000.0,1995-10-23,1995-10-23,1.0,Post-Monsoon,Andhra Pradesh,3.912023005428146,8.006700845440367,7.601402334583733,4,20,3,1,0,0
Hydrological,Flood,Riverine flood,"Kishanganj, Darbhanga, Sitamarhi, Saharsa districts (Bihar state)",171900.0,Km2,1996,7.0,17.0,1996,8.0,10.0,74.0,4000000.0,980.0,1996-07-17,1996-08-10,24.0,Monsoon,Bihar,4.31748811353631,15.201805169084134,6.8885724595653635,4,20,3,0,3,0
Hydrological,Flood,Flood (General),"Bihar, Assam, Gujarat, Haryana, Kerala, Rajasthan, Uttar Pradesh",,Km2,1996,8.0,25.0,1996,9.0,1.0,500.0,100000.0,17600.0,1996-08-25,1996-09-01,7.0,Monsoon,Assam,6.2166061010848646,11.51293546492023,9.77571099759397,4,8,3,0,2,0
Hydrological,Flood,Riverine flood,"Tamil Nadu, Andhra Pradesh, Kerala, Karnataka states",177500.0,Km2,1996,10.0,21.0,1996,10.0,25.0,388.0,100000.0,90400.0,1996-10-21,1996-10-25,4.0,Post-Monsoon,Andhra Pradesh,5.963579343618446,11.51293546492023,11.412010608265987,4,20,3,1,0,0
Hydrological,Flood,Riverine flood,"Mehsana, Gandhi Nagar, Ahmedabad, Kheda, Sabarkanda, Vadodra, Banaskanda, Surender Nagar districts (Gujarat state)",,Km2,1997,6.0,22.0,1997,6.0,28.0,111.0,1000000.0,153800.0,1997-06-22,1997-06-28,6.0,Monsoon,Gujarat,4.718498871295094,13.815511557963774,11.943414837983129,4,20,3,0,6,0
Hydrological,Flood,Riverine flood,"Chandigarh, Chirgaon, Himalayan state of Himachal Pradesh.",,Km2,1997,8.0,8.0,1997,8.0,14.0,135.0,20.0,71000.0,1997-08-08,1997-08-14,6.0,Monsoon,Himachal Pradesh,4.912654885736052,3.044522437723423,11.170449240431308,4,20,3,0,8,0
Hydrological,Flood,Flood (General),"Andhra Pradesh, Arunachal Pradesh, Assam, Bihar, Gujarat, Himachal Pradesh, Jammu and Kashmir, Karnataka, Kerala, Maharashtra, Madyha Pradesh, Orissa, Punjab, Rajasthan, Sikkim, Uttar Pradesh, West Bengal states",21840.0,Km2,1997,9.0,1.0,1997,9.0,1.0,1442.0,29259000.0,160000.0,1997-09-01,1997-09-01,1.0,Monsoon,West Bengal,7.274479558773871,17.19169781079978,11.982935344196433,4,8,3,0,28,0
Hydrological,Flood,Flood (General),"Assam, Arunachal, Bihar, Kerala, Meghalaya, Punjab, Sikkim, Uttar Pradesh, West Bengal states",67610.0,Km2,1998,8.0,1.0,1998,8.0,1.0,1811.0,29227200.0,160000.0,1998-08-01,1998-08-01,1.0,Monsoon,West Bengal,7.502186486602924,17.19061037471926,11.982935344196433,4,8,3,0,28,0
Hydrological,Flood,Flood (General),"Andhra Pradesh, Hyderabad",8000.0,Km2,1998,9.0,20.0,1998,9.0,20.0,230.0,375000.0,528600.0,1998-09-20,1998-09-20,1.0,Monsoon,Andhra Pradesh,5.442417710521793,12.834683971615659,13.177989172940169,4,8,3,0,0,0
Hydrological,Flood,Riverine flood,"Assam, Bihar, Gujarat, Karnataka, Kerala, Tripura, West Bengal, Arunachal Pradesh, Punjab",,Km2,1999,7.0,11.0,1999,8.0,3.0,325.0,5500000.0,160000.0,1999-07-11,1999-08-03,23.0,Monsoon,West Bengal,5.786897381366708,15.520258832020865,11.982935344196433,4,20,3,0,28,0
Hydrological,Flood,Flood (General),"Uttar Pradesh, Bihar, West Bengal, Madhya Prasdeh, Delhi",,Km2,1999,9.0,1.0,1999,9.0,1.0,229.0,22120000.0,2400.0,1999-09-01,1999-09-01,1.0,Monsoon,West Bengal,5.438079308923196,16.911992779826363,7.783640596221253,4,8,3,0,28,0
Hydrological,Flood,Flash flood,"Yingkiang,Tuting villages (Upper Siang (70051) district, Arunachal Pradesh province), Along, Boleng villages (70054 district, Arunachal Pradesh province), Pasighat, Sika-bamin, Komlighat, Raneghat (70041 district, Arunachal Pradesh province), Tezu, Mahadevpur villages (Lohit district, Arunachal Pradesh province), Golaghat, Nagaon districts (Assam province),",55000.0,Km2,2000,6.0,10.0,2000,6.0,10.0,20.0,3000000.0,160000.0,2000-06-10,2000-06-10,1.0,Monsoon,Arunachal Pradesh,3.044522437723423,14.914123179965662,11.982935344196433,4,7,3,0,1,0
Hydrological,Flood,Flash flood,"East Siang, 70041, West Siang, 70054, Upper Siang (70051), 70045, 70050, Lower Dibang Valley districts (Arunachal Pradesh province)",,Km2,2000,7.0,1.0,2000,7.0,1.0,130.0,30000.0,160000.0,2000-07-01,2000-07-01,1.0,Monsoon,Arunachal Pradesh,4.875197323201151,10.308985993422082,11.982935344196433,4,7,3,0,1,0
Hydrological,Flood,Flash flood,"Adilabad, Cuddapah, East Godavari, Guntur, Hyderabad, Karimnagar, Khammam, Krishna, Kurnool, Mahbubnagar, Medak, Nalgonda, Nellore, Nizamabad, Prakasam, Rangareddi, Vishakhapatnam, Warangal, West Godavari districts (Andhra Pradesh province)",129500.0,Km2,2000,8.0,23.0,2000,8.0,31.0,179.0,252016.0,173000.0,2000-08-23,2000-08-31,8.0,Monsoon,Andhra Pradesh,5.19295685089021,12.437251824535675,12.06105265381003,4,7,3,0,0,0
Hydrological,Flood,Riverine flood,"Birbhum, Bardhaman, Murshidabad, Maldah districts (West Bengal province), Dumka, Sahibganj, Deoghar districts (Jharkhand province), Banka, Bhagalpur, Munger, Sheikhpura districts (Bihar province)",12680.0,Km2,2000,9.0,18.0,2000,10.0,21.0,884.0,24600000.0,691500.0,2000-09-18,2000-10-21,33.0,Monsoon,West Bengal,6.785587645007929,17.018257041552996,13.446619876217502,4,20,3,0,28,0
